onset	duration	accuracy	trial_type	learning_stage	stimulus	response_port
6899.06	2.422	correct	learning	LS1	h44_p49_i_up_left.jpg	97
6945.926	1.171	incorrect	learning	LS1	h76_p49_i_down_right.jpg	98
6992.624	1.166	incorrect	learning	LS1	h51_p17_i_up_left.jpg	98
7039.823	1.559	incorrect	learning	LS1	h69_p47_i_down_right.jpg	98
7086.522	0.82	correct	learning	LS1	h76_p29_k_down_q1_left.jpg	98
7133.387	0.99	incorrect	learning	LS1	h61_p5_k_up_q2_right.jpg	97
7179.919	1.609	incorrect	learning	LS1	h69_p34_k_down_q1_left.jpg	97
7226.451	1.19	incorrect	learning	LS1	h44_p18_k_up_q1_right.jpg	97
7273.15	0.818	correct	learning	LS1	h51_p24_k_up_q3_right.jpg	98
7319.848	1.021	incorrect	learning	LS1	h61_p25_i_up_left.jpg	98
7411.577	1.722	correct	learning	LS2	h44_p20_i_up_right.jpg	97
7458.109	0.791	correct	learning	LS2	h61_p5_k_up_q2_right.jpg	98
7504.641	0.916	correct	learning	LS2	h76_p29_k_down_q1_left.jpg	98
7551.173	1.056	correct	learning	LS2	h51_p24_k_up_q3_right.jpg	98
7597.871	1.275	correct	learning	LS2	h76_p11_i_down_right.jpg	97
7644.403	0.823	correct	learning	LS2	h69_p34_k_down_q1_left.jpg	98
7691.102	1.107	correct	learning	LS2	h61_p15_i_up_right.jpg	97
7737.634	0.959	correct	learning	LS2	h44_p18_k_up_q1_right.jpg	98
7784.332	0.763	correct	learning	LS2	h51_p13_i_up_right.jpg	97
7831.031	1.302	correct	learning	LS2	h69_p20_i_down_left.jpg	97
7922.927	0.867	correct	learning	LS3	h51_p24_k_up_q3_right.jpg	98
7969.459	0.975	correct	learning	LS3	h69_p34_k_down_q1_left.jpg	98
8015.991	0.892	correct	learning	LS3	h44_p18_k_up_q1_right.jpg	98
8062.689	0.84	correct	learning	LS3	h44_p49_i_up_left.jpg	97
8109.221	0.772	correct	learning	LS3	h76_p29_k_down_q1_left.jpg	98
8155.753	0.832	correct	learning	LS3	h51_p17_i_up_left.jpg	97
8202.285	1.084	correct	learning	LS3	h61_p25_i_up_left.jpg	97
8249.15	0.887	correct	learning	LS3	h76_p49_i_down_right.jpg	97
8295.682	1.043	correct	learning	LS3	h69_p47_i_down_right.jpg	97
8342.38	0.815	correct	learning	LS3	h61_p5_k_up_q2_right.jpg	98
8434.11	0.861	correct	learning	LS4	h76_p29_k_down_q1_left.jpg	98
8480.808	0.792	correct	learning	LS4	h76_p11_i_down_right.jpg	97
8527.507	1.187	correct	learning	LS4	h51_p24_k_up_q3_right.jpg	98
8574.039	1.056	correct	learning	LS4	h69_p34_k_down_q1_left.jpg	98
8620.571	0.844	correct	learning	LS4	h51_p13_i_up_right.jpg	97
8667.102	1.128	correct	learning	LS4	h61_p15_i_up_right.jpg	97
8713.634	1.029	correct	learning	LS4	h44_p20_i_up_right.jpg	97
8760.166	1.216	correct	learning	LS4	h69_p20_i_down_left.jpg	97
8806.865	0.956	correct	learning	LS4	h44_p18_k_up_q1_right.jpg	98
8853.563	0.904	correct	learning	LS4	h61_p5_k_up_q2_right.jpg	98
9126.083	1.084	incorrect	learning	LS1	h50_p21_i_up_right.jpg	98
9172.781	1.048	incorrect	learning	LS1	h34_p17_i_up_left.jpg	98
9219.48	0.884	incorrect	learning	LS1	h58_p11_i_down_right.jpg	98
9266.345	0.974	correct	learning	LS1	h57_p36_k_down_q1_left.jpg	98
9313.044	1.193	incorrect	learning	LS1	h56_p2_i_up_left.jpg	98
9359.742	1.252	correct	learning	LS1	h58_p6_k_down_q3_right.jpg	98
9406.441	1.296	correct	learning	LS1	h34_p41_k_up_q4_left.jpg	98
9453.14	0.86	correct	learning	LS1	h50_p45_k_up_q3_right.jpg	98
9499.838	1.319	correct	learning	LS1	h56_p13_k_up_q2_right.jpg	98
9546.537	1.874	incorrect	learning	LS1	h57_p15_i_down_left.jpg	98
9638.266	1.44	correct	learning	LS2	h34_p41_k_up_q4_left.jpg	98
9684.798	0.781	correct	learning	LS2	h50_p45_k_up_q3_right.jpg	98
9731.33	1.113	correct	learning	LS2	h34_p21_i_up_right.jpg	97
9778.195	1.539	incorrect	learning	LS2	h56_p49_i_up_left.jpg	98
9824.894	1.103	correct	learning	LS2	h58_p15_i_down_left.jpg	97
9871.592	1.05	incorrect	learning	LS2	h50_p37_i_up_right.jpg	98
9918.124	1.126	correct	learning	LS2	h57_p36_k_down_q1_left.jpg	98
9964.656	1.059	correct	learning	LS2	h56_p13_k_up_q2_right.jpg	98
10011.355	0.862	correct	learning	LS2	h57_p34_i_down_left.jpg	97
10058.22	0.777	correct	learning	LS2	h58_p6_k_down_q3_right.jpg	98
10149.949	1.158	correct	learning	LS3	h34_p17_i_up_left.jpg	97
10196.481	0.931	correct	learning	LS3	h58_p6_k_down_q3_right.jpg	98
10243.18	0.863	correct	learning	LS3	h56_p13_k_up_q2_right.jpg	98
10289.711	1.098	correct	learning	LS3	h58_p11_i_down_right.jpg	97
10336.243	1.27	correct	learning	LS3	h57_p36_k_down_q1_left.jpg	98
10382.775	1.362	correct	learning	LS3	h56_p2_i_up_left.jpg	97
10429.64	1.772	correct	learning	LS3	h57_p15_i_down_left.jpg	97
10476.339	1.56	correct	learning	LS3	h50_p45_k_up_q3_right.jpg	98
10522.871	1.413	correct	learning	LS3	h34_p41_k_up_q4_left.jpg	98
10569.569	1.153	correct	learning	LS3	h50_p21_i_up_right.jpg	97
10661.632	1.82	correct	learning	LS4	h56_p13_k_up_q2_right.jpg	98
10708.331	1.033	correct	learning	LS4	h57_p36_k_down_q1_left.jpg	98
10755.196	2.194	correct	learning	LS4	h58_p15_i_down_left.jpg	97
10801.728	1.248	correct	learning	LS4	h34_p21_i_up_right.jpg	97
10848.427	1.084	correct	learning	LS4	h50_p45_k_up_q3_right.jpg	98
10895.125	0.712	correct	learning	LS4	h58_p6_k_down_q3_right.jpg	98
10941.824	1.027	correct	learning	LS4	h57_p34_i_down_left.jpg	97
10988.356	1.231	correct	learning	LS4	h50_p37_i_up_right.jpg	97
11034.887	0.955	correct	learning	LS4	h34_p41_k_up_q4_left.jpg	98
11081.586	2.149	correct	learning	LS4	h56_p49_i_up_left.jpg	97
11353.939	1.005	incorrect	learning	LS1	h93_p35_i_down_left.jpg	98
