onset	duration	accuracy	trial_type	learning_stage	stimulus	coherence	signal_detection_theory
2412.992	7.873	correct	learning	LS3	PICTURE_235.jpg	i	correct rejection
2420.865	8.253	correct	learning	LS3	PICTURE_297.jpg	i	correct rejection
2429.118	8.953	correct	learning	LS3	PICTURE_720.jpg	i	correct rejection
2438.071	9.494	correct	learning	LS3	PICTURE_746.jpg	i	correct rejection
2447.565	7.475	correct	learning	LS3	PICTURE_23.jpg	i	correct rejection
2455.040	8.175	correct	learning	LS3	PICTURE_235.jpg	c	hit
2463.215	10.002	correct	learning	LS3	PICTURE_746.jpg	c	hit
2473.217	8.889	correct	learning	LS4	PICTURE_297.jpg	c	hit
2482.106	6.244	correct	learning	LS4	PICTURE_235.jpg	c	hit
2488.350	7.117	correct	learning	LS4	PICTURE_746.jpg	i	correct rejection
2495.467	8.151	correct	learning	LS4	PICTURE_235.jpg	i	correct rejection
2503.618	9.025	correct	learning	LS4	PICTURE_297.jpg	i	correct rejection
2512.643	8.779	correct	learning	LS4	PICTURE_23.jpg	i	correct rejection
2521.422	9.493	correct	learning	LS4	PICTURE_720.jpg	i	correct rejection
2530.915	7.806	correct	learning	LS4	PICTURE_23.jpg	c	hit
2538.721	7.560	correct	learning	LS4	PICTURE_746.jpg	c	hit
2546.281	7.147	correct	learning	LS4	PICTURE_720.jpg	c	hit
2553.428	10.765	correct	control	LS1	PICTURE_350.jpg	i	correct rejection
2564.193	9.240	correct	control	LS1	PICTURE_549.jpg	i	correct rejection
2573.433	8.675	correct	control	LS1	PICTURE_350.jpg	c	hit
2582.108	6.976	correct	control	LS1	PICTURE_549.jpg	c	hit
2589.084	7.355	correct	control	LS1	PICTURE_498.jpg	i	correct rejection
2596.439	8.215	correct	control	LS1	PICTURE_485.jpg	c	hit
2604.654	7.955	correct	control	LS1	PICTURE_418.jpg	i	correct rejection
2612.609	7.543	correct	control	LS1	PICTURE_498.jpg	c	hit
2620.152	9.690	correct	control	LS1	PICTURE_418.jpg	c	hit
2629.842	8.799	correct	control	LS1	PICTURE_485.jpg	i	correct rejection
2638.641	8.012	correct	control	LS2	PICTURE_418.jpg	c	hit
2646.653	6.326	correct	control	LS2	PICTURE_485.jpg	c	hit
2652.979	5.760	correct	control	LS2	PICTURE_498.jpg	c	hit
2658.739	6.953	correct	control	LS2	PICTURE_350.jpg	i	correct rejection
2665.692	6.708	correct	control	LS2	PICTURE_549.jpg	c	hit
2672.400	6.782	correct	control	LS2	PICTURE_418.jpg	i	correct rejection
2679.182	8.454	correct	control	LS2	PICTURE_350.jpg	c	hit
2687.636	7.735	correct	control	LS2	PICTURE_485.jpg	i	correct rejection
2695.371	8.768	correct	control	LS2	PICTURE_498.jpg	i	correct rejection
2704.139	9.169	correct	control	LS2	PICTURE_549.jpg	i	correct rejection
2713.308	8.864	correct	control	LS3	PICTURE_314.jpg	c	hit
2722.172	9.585	correct	control	LS3	PICTURE_476.jpg	i	correct rejection
2731.757	8.387	correct	control	LS3	PICTURE_663.jpg	c	hit
2740.144	8.787	correct	control	LS3	PICTURE_552.jpg	i	correct rejection
2748.931	7.101	correct	control	LS3	PICTURE_476.jpg	c	hit
2756.032	5.562	correct	control	LS3	PICTURE_552.jpg	c	hit
2761.594	9.781	correct	control	LS3	PICTURE_388.jpg	i	correct rejection
2771.375	7.123	incorrect	control	LS3	PICTURE_663.jpg	i	false alarm
2778.498	7.823	correct	control	LS3	PICTURE_388.jpg	c	hit
2786.321	7.564	correct	control	LS3	PICTURE_314.jpg	i	correct rejection
2793.885	6.772	correct	control	LS4	PICTURE_552.jpg	c	hit
2800.657	7.325	correct	control	LS4	PICTURE_314.jpg	i	correct rejection
