onset	duration	accuracy_binary	trial_type	learning_stage	stimulus	coherence
1355.115	7.674	1	learning	LS3	PICTURE_72.jpg	i
1362.789	7.683	1	learning	LS3	PICTURE_71.jpg	i
1370.472	8.005	1	learning	LS3	PICTURE_74.jpg	c
1378.477	7.851	1	learning	LS3	PICTURE_68.jpg	i
1386.328	14.733	0	learning	LS3	PICTURE_67.jpg	i
1401.061	8.504	1	learning	LS3	PICTURE_71.jpg	c
1409.565	8.373	1	learning	LS4	PICTURE_72.jpg	c
1417.938	7.422	1	learning	LS4	PICTURE_68.jpg	c
1425.360	8.705	1	learning	LS4	PICTURE_74.jpg	c
1434.065	9.668	1	learning	LS4	PICTURE_67.jpg	i
1443.733	8.393	1	learning	LS4	PICTURE_72.jpg	i
1452.126	9.035	1	learning	LS4	PICTURE_67.jpg	c
1461.161	7.122	1	learning	LS4	PICTURE_71.jpg	c
1468.283	8.086	1	learning	LS4	PICTURE_68.jpg	i
1476.369	9.049	1	learning	LS4	PICTURE_71.jpg	i
1485.418	9.056	1	learning	LS4	PICTURE_74.jpg	i
1494.474	10.157	0	learning	LS1	PICTURE_267.jpg	i
1504.631	10.156	1	learning	LS1	PICTURE_32.jpg	c
1514.787	9.685	1	learning	LS1	PICTURE_100.jpg	c
1524.472	11.125	1	learning	LS1	PICTURE_97.jpg	c
1535.597	11.291	1	learning	LS1	PICTURE_267.jpg	c
1546.888	6.984	1	learning	LS1	PICTURE_97.jpg	i
1553.872	11.619	1	learning	LS1	PICTURE_77.jpg	c
1565.491	8.429	1	learning	LS1	PICTURE_100.jpg	i
1573.920	8.910	1	learning	LS1	PICTURE_77.jpg	i
1582.830	8.435	1	learning	LS1	PICTURE_32.jpg	i
1591.265	9.429	1	learning	LS2	PICTURE_77.jpg	c
1600.694	7.840	1	learning	LS2	PICTURE_32.jpg	c
1608.534	7.523	1	learning	LS2	PICTURE_267.jpg	c
1616.057	8.652	1	learning	LS2	PICTURE_97.jpg	c
1624.709	8.818	1	learning	LS2	PICTURE_77.jpg	i
1633.527	7.861	1	learning	LS2	PICTURE_100.jpg	c
1641.388	8.185	1	learning	LS2	PICTURE_97.jpg	i
1649.573	9.148	1	learning	LS2	PICTURE_32.jpg	i
1658.721	9.953	1	learning	LS2	PICTURE_100.jpg	i
1668.674	8.838	1	learning	LS2	PICTURE_267.jpg	i
1677.512	8.391	1	learning	LS3	PICTURE_77.jpg	i
1685.903	8.077	1	learning	LS3	PICTURE_32.jpg	i
1693.980	7.763	1	learning	LS3	PICTURE_267.jpg	c
1701.743	7.448	1	learning	LS3	PICTURE_32.jpg	c
1709.191	8.577	1	learning	LS3	PICTURE_97.jpg	i
1717.768	8.579	1	learning	LS3	PICTURE_100.jpg	c
1726.347	12.576	1	learning	LS3	PICTURE_97.jpg	c
1738.923	7.789	1	learning	LS3	PICTURE_100.jpg	i
1746.712	9.874	1	learning	LS3	PICTURE_77.jpg	c
