onset	duration	response_time_ms	trial_type	learning_stage	stimulus	coherence	response_port
1336.368	9.213	9213.0	control	LS3	PICTURE_234.jpg	c	n/a
1345.581	6.665	6665.0	control	LS3	PICTURE_151.jpg	i	n/a
1352.246	6.995	6995.0	control	LS3	PICTURE_119.jpg	c	n/a
1359.241	7.000	7000.0	control	LS3	PICTURE_621.jpg	c	n/a
1366.241	8.286	8286.0	control	LS3	PICTURE_151.jpg	c	n/a
1374.527	8.167	8167.0	control	LS4	PICTURE_621.jpg	c	n/a
1382.694	6.580	6580.0	control	LS4	PICTURE_151.jpg	c	n/a
1389.274	7.391	7391.0	control	LS4	PICTURE_119.jpg	i	n/a
1396.665	6.920	6920.0	control	LS4	PICTURE_234.jpg	i	n/a
1403.585	5.810	5810.0	control	LS4	PICTURE_111.jpg	c	n/a
1409.395	6.302	6302.0	control	LS4	PICTURE_119.jpg	c	n/a
1415.697	7.271	7271.0	control	LS4	PICTURE_621.jpg	i	n/a
1422.968	7.598	7598.0	control	LS4	PICTURE_151.jpg	i	n/a
1430.566	8.244	8244.0	control	LS4	PICTURE_111.jpg	i	n/a
1438.810	8.255	8255.0	control	LS4	PICTURE_234.jpg	c	n/a
1447.065	12.269	12269.0	learning	LS1	PICTURE_71.jpg	i	n/a
1459.334	9.083	9083.0	learning	LS1	PICTURE_72.jpg	c	n/a
1468.417	10.371	10371.0	learning	LS1	PICTURE_67.jpg	c	n/a
1478.788	8.464	8464.0	learning	LS1	PICTURE_68.jpg	c	n/a
1487.252	13.908	13908.0	learning	LS1	PICTURE_72.jpg	i	n/a
1501.160	8.802	8802.0	learning	LS1	PICTURE_71.jpg	c	n/a
1509.962	15.358	15358.0	learning	LS1	PICTURE_74.jpg	i	n/a
1525.320	14.890	14890.0	learning	LS1	PICTURE_67.jpg	i	n/a
1540.210	9.788	9788.0	learning	LS1	PICTURE_68.jpg	i	n/a
1549.998	9.160	9160.0	learning	LS1	PICTURE_74.jpg	c	n/a
1559.158	8.719	8719.0	learning	LS2	PICTURE_72.jpg	i	n/a
1567.877	8.087	8087.0	learning	LS2	PICTURE_67.jpg	c	n/a
1575.964	7.139	7139.0	learning	LS2	PICTURE_71.jpg	c	n/a
1583.103	9.072	9072.0	learning	LS2	PICTURE_67.jpg	i	n/a
1592.175	9.084	9084.0	learning	LS2	PICTURE_71.jpg	i	n/a
1601.259	8.773	8773.0	learning	LS2	PICTURE_74.jpg	i	n/a
1610.032	20.131	20131.0	learning	LS2	PICTURE_68.jpg	c	n/a
1630.163	9.752	9752.0	learning	LS2	PICTURE_72.jpg	c	n/a
1639.915	12.477	12477.0	learning	LS2	PICTURE_74.jpg	c	n/a
1652.392	20.157	20157.0	learning	LS2	PICTURE_68.jpg	i	n/a
1672.549	10.450	10450.0	learning	LS3	PICTURE_72.jpg	i	n/a
1682.999	10.937	10937.0	learning	LS3	PICTURE_74.jpg	i	n/a
1693.936	10.304	10304.0	learning	LS3	PICTURE_67.jpg	i	n/a
1704.240	7.114	7114.0	learning	LS3	PICTURE_71.jpg	c	n/a
1711.354	7.286	7286.0	learning	LS3	PICTURE_67.jpg	c	n/a
1718.640	7.456	7456.0	learning	LS3	PICTURE_72.jpg	c	n/a
1726.096	6.987	6987.0	learning	LS3	PICTURE_68.jpg	c	n/a
1733.083	8.433	8433.0	learning	LS3	PICTURE_71.jpg	i	n/a
1741.516	8.921	8921.0	learning	LS3	PICTURE_68.jpg	i	n/a
1750.437	9.087	9087.0	learning	LS3	PICTURE_74.jpg	c	n/a
1759.524	7.850	7850.0	learning	LS4	PICTURE_67.jpg	i	n/a
1767.374	8.499	8499.0	learning	LS4	PICTURE_68.jpg	i	n/a
1775.873	8.985	8985.0	learning	LS4	PICTURE_67.jpg	c	n/a
