trial_index	trial_type	block_number	block_type	is_practice	n_left_clicks	go_first_left_inside	go_first_left_rt	parse_failed_time	parse_failed_xy	parse_failed_buttons	mismatched_lengths	any_rb_nonzero	any_mb_nonzero	any_click	any_left	any_right	nogo_stop_time	nogo_stopped	nogo_outcome	nogo_parse_failed	rt_combined	accuracy
108	go	4	go_nogo	0	1	1	0.908114	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.908114	1
109	go	4	go_nogo	0	1	1	0.759909	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.759909	1
110	go	4	go_nogo	0	1	1	0.759543	0	0	0	0	0	0	1	1	0	0.575860	1	stopped_early	0	0.759543	1
111	nogo	4	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.377450	1	stopped_early	0	0.377450	1
112	go	4	go_nogo	0	1	1	0.693445	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.693445	1
113	go	4	go_nogo	0	1	1	0.661116	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.661116	1
114	go	4	go_nogo	0	1	1	0.660973	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.660973	1
115	nogo	5	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.873059	1	stopped_near_deadline	0	0.873059	1
116	go	5	go_nogo	0	1	1	0.611922	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.611922	1
117	nogo	5	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.361042	1	stopped_early	0	0.361042	1
118	go	5	go_nogo	0	1	1	0.608676	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.608676	1
119	go	5	go_nogo	0	1	1	0.561878	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.561878	1
120	go	5	go_nogo	0	1	1	0.595079	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.595079	1
121	go	5	go_nogo	0	1	1	0.609397	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.609397	1
122	go	5	go_nogo	0	1	1	0.660993	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.660993	1
123	go	5	go_nogo	0	1	1	0.676325	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.676325	1
124	go	5	go_nogo	0	1	1	0.627213	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.627213	1
125	nogo	5	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.475659	1	stopped_early	0	0.475659	1
126	go	5	go_nogo	0	1	1	0.760341	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.760341	1
127	go	5	go_nogo	0	1	1	0.760386	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.760386	1
128	go	5	go_nogo	0	1	1	0.777154	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.777154	1
129	go	5	go_nogo	0	1	1	0.675360	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.675360	1
130	nogo	5	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.378144	1	stopped_early	0	0.378144	1
131	go	5	go_nogo	0	1	1	0.744409	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.744409	1
132	go	5	go_nogo	0	1	1	0.628023	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.628023	1
133	go	5	go_nogo	0	1	1	0.643037	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.643037	1
134	go	5	go_nogo	0	1	1	0.726358	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.726358	1
135	go	5	go_nogo	0	1	1	0.643596	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.643596	1
136	go	5	go_nogo	0	1	1	0.976003	0	0	0	0	0	0	1	1	0	n/a	0	no_stop_early	0	0.976003	1
137	nogo	5	go_nogo	0	0	0	n/a	0	0	0	0	0	0	0	0	0	0.444945	1	stopped_early	0	0.444945	1
