onset	duration	response_time_ms	trial_type	learning_stage	stimulus	coherence	response_port
3624.633	n/a	n/a	control	LS4	PICTURE_119.jpg	i	n/a
3649.633	n/a	n/a	control	LS4	PICTURE_621.jpg	c	n/a
3674.633	n/a	n/a	control	LS4	PICTURE_119.jpg	c	n/a
3699.633	n/a	n/a	control	LS4	PICTURE_234.jpg	c	n/a
3724.633	n/a	n/a	learning	LS1	PICTURE_26.jpg	c	n/a
3749.633	n/a	n/a	learning	LS1	PICTURE_654.jpg	i	n/a
3774.633	n/a	n/a	learning	LS1	PICTURE_26.jpg	i	n/a
3799.633	n/a	n/a	learning	LS1	PICTURE_659.jpg	c	n/a
3824.633	n/a	n/a	learning	LS1	PICTURE_38.jpg	c	n/a
3849.633	n/a	n/a	learning	LS1	PICTURE_659.jpg	i	n/a
3874.633	n/a	n/a	learning	LS1	PICTURE_212.jpg	i	n/a
3899.633	n/a	n/a	learning	LS1	PICTURE_38.jpg	i	n/a
3924.633	n/a	n/a	learning	LS1	PICTURE_654.jpg	c	n/a
3949.633	n/a	n/a	learning	LS1	PICTURE_212.jpg	c	n/a
3974.633	n/a	n/a	learning	LS2	PICTURE_26.jpg	i	n/a
3999.633	n/a	n/a	learning	LS2	PICTURE_38.jpg	i	n/a
4024.633	n/a	n/a	learning	LS2	PICTURE_654.jpg	c	n/a
4049.633	n/a	n/a	learning	LS2	PICTURE_212.jpg	i	n/a
4074.633	n/a	n/a	learning	LS2	PICTURE_659.jpg	c	n/a
4099.633	n/a	n/a	learning	LS2	PICTURE_38.jpg	c	n/a
4124.633	n/a	n/a	learning	LS2	PICTURE_659.jpg	i	n/a
4149.633	n/a	n/a	learning	LS2	PICTURE_212.jpg	c	n/a
4174.633	n/a	n/a	learning	LS2	PICTURE_26.jpg	c	n/a
4199.633	n/a	n/a	learning	LS2	PICTURE_654.jpg	i	n/a
4224.633	n/a	n/a	learning	LS3	PICTURE_654.jpg	c	n/a
4249.633	n/a	n/a	learning	LS3	PICTURE_659.jpg	i	n/a
4274.633	n/a	n/a	learning	LS3	PICTURE_26.jpg	c	n/a
4299.633	n/a	n/a	learning	LS3	PICTURE_654.jpg	i	n/a
4324.633	n/a	n/a	learning	LS3	PICTURE_26.jpg	i	n/a
4349.633	n/a	n/a	learning	LS3	PICTURE_659.jpg	c	n/a
4374.633	n/a	n/a	learning	LS3	PICTURE_38.jpg	i	n/a
4399.633	n/a	n/a	learning	LS3	PICTURE_212.jpg	i	n/a
4424.633	n/a	n/a	learning	LS3	PICTURE_38.jpg	c	n/a
4449.633	n/a	n/a	learning	LS3	PICTURE_212.jpg	c	n/a
4474.633	n/a	n/a	learning	LS4	PICTURE_659.jpg	i	n/a
4499.633	n/a	n/a	learning	LS4	PICTURE_212.jpg	i	n/a
4524.633	n/a	n/a	learning	LS4	PICTURE_26.jpg	i	n/a
4549.633	n/a	n/a	learning	LS4	PICTURE_654.jpg	c	n/a
4574.633	n/a	n/a	learning	LS4	PICTURE_212.jpg	c	n/a
4599.633	n/a	n/a	learning	LS4	PICTURE_26.jpg	c	n/a
4624.633	n/a	n/a	learning	LS4	PICTURE_38.jpg	i	n/a
4649.633	n/a	n/a	learning	LS4	PICTURE_654.jpg	i	n/a
4674.633	n/a	n/a	learning	LS4	PICTURE_38.jpg	c	n/a
4699.633	n/a	n/a	learning	LS4	PICTURE_659.jpg	c	n/a
