onset	duration	accuracy_binary	trial_type	learning_stage	stimulus	coherence
1751.158	9.041	1	learning	LS3	PICTURE_23.jpg	c
1760.199	6.840	1	learning	LS4	PICTURE_746.jpg	c
1767.039	7.805	1	learning	LS4	PICTURE_23.jpg	i
1774.844	8.768	1	learning	LS4	PICTURE_720.jpg	c
1783.612	8.297	1	learning	LS4	PICTURE_297.jpg	i
1791.909	10.221	1	learning	LS4	PICTURE_720.jpg	i
1802.130	7.194	1	learning	LS4	PICTURE_23.jpg	c
1809.324	7.524	1	learning	LS4	PICTURE_746.jpg	i
1816.848	7.693	1	learning	LS4	PICTURE_235.jpg	i
1824.541	7.700	1	learning	LS4	PICTURE_297.jpg	c
1832.241	6.910	1	learning	LS4	PICTURE_235.jpg	c
1839.151	9.625	1	control	LS1	PICTURE_485.jpg	i
1848.776	11.389	1	control	LS1	PICTURE_549.jpg	i
1860.165	7.716	1	control	LS1	PICTURE_485.jpg	c
1867.881	8.361	1	control	LS1	PICTURE_350.jpg	i
1876.242	8.047	1	control	LS1	PICTURE_498.jpg	i
1884.289	8.057	1	control	LS1	PICTURE_549.jpg	c
1892.346	8.385	1	control	LS1	PICTURE_418.jpg	c
1900.731	8.553	1	control	LS1	PICTURE_350.jpg	c
1909.284	8.081	1	control	LS1	PICTURE_418.jpg	i
1917.365	7.291	1	control	LS1	PICTURE_498.jpg	c
1924.656	10.209	1	control	LS2	PICTURE_498.jpg	i
1934.865	8.778	1	control	LS2	PICTURE_418.jpg	c
1943.643	8.150	1	control	LS2	PICTURE_549.jpg	c
1951.793	8.160	1	control	LS2	PICTURE_350.jpg	i
1959.953	7.370	1	control	LS2	PICTURE_418.jpg	i
1967.323	8.333	1	control	LS2	PICTURE_485.jpg	i
1975.656	7.702	1	control	LS2	PICTURE_350.jpg	c
1983.358	9.470	1	control	LS2	PICTURE_485.jpg	c
1992.828	7.719	1	control	LS2	PICTURE_549.jpg	i
2000.547	7.567	1	control	LS2	PICTURE_498.jpg	c
2008.114	13.359	1	control	LS3	PICTURE_663.jpg	i
2021.473	9.376	1	control	LS3	PICTURE_314.jpg	i
2030.849	9.063	1	control	LS3	PICTURE_663.jpg	c
2039.912	8.591	1	control	LS3	PICTURE_552.jpg	c
2048.503	8.921	1	control	LS3	PICTURE_388.jpg	i
2057.424	7.489	1	control	LS3	PICTURE_314.jpg	c
2064.913	9.095	1	control	LS3	PICTURE_476.jpg	c
2074.008	8.144	1	control	LS3	PICTURE_552.jpg	i
2082.152	8.949	1	control	LS3	PICTURE_388.jpg	c
2091.101	8.478	1	control	LS3	PICTURE_476.jpg	i
2099.579	9.632	1	control	LS4	PICTURE_552.jpg	i
2109.211	7.079	1	control	LS4	PICTURE_663.jpg	i
2116.290	8.367	1	control	LS4	PICTURE_388.jpg	c
2124.657	9.175	1	control	LS4	PICTURE_476.jpg	c
2133.832	8.387	1	control	LS4	PICTURE_314.jpg	i
2142.219	8.395	1	control	LS4	PICTURE_663.jpg	c
2150.614	7.764	1	control	LS4	PICTURE_552.jpg	c
2158.378	8.571	1	control	LS4	PICTURE_388.jpg	i
2166.949	8.099	1	control	LS4	PICTURE_476.jpg	i
2175.048	7.152	1	control	LS4	PICTURE_314.jpg	c
2182.200	7.958	1	learning	LS1	PICTURE_581.jpg	c
2190.158	8.763	1	learning	LS1	PICTURE_576.jpg	i
2198.921	10.528	1	learning	LS1	PICTURE_581.jpg	i
2209.449	14.055	0	learning	LS1	PICTURE_605.jpg	i
2223.504	10.227	0	learning	LS1	PICTURE_52.jpg	i
2233.731	11.829	1	learning	LS1	PICTURE_594.jpg	c
2245.560	12.158	1	learning	LS1	PICTURE_576.jpg	c
2257.718	8.807	1	learning	LS1	PICTURE_605.jpg	c
2266.525	7.855	1	learning	LS1	PICTURE_52.jpg	c
2274.380	11.061	0	learning	LS1	PICTURE_594.jpg	i
2285.441	9.185	1	learning	LS2	PICTURE_576.jpg	i
2294.626	10.471	1	learning	LS2	PICTURE_52.jpg	i
2305.097	7.918	1	learning	LS2	PICTURE_581.jpg	c
2313.015	7.130	1	learning	LS2	PICTURE_605.jpg	c
2320.145	12.573	1	learning	LS2	PICTURE_594.jpg	c
2332.718	7.786	1	learning	LS2	PICTURE_576.jpg	c
2340.504	8.432	1	learning	LS2	PICTURE_605.jpg	i
2348.936	8.444	1	learning	LS2	PICTURE_581.jpg	i
2357.380	7.812	1	learning	LS2	PICTURE_52.jpg	c
2365.192	9.418	1	learning	LS2	PICTURE_594.jpg	i
2374.610	7.378	1	learning	LS3	PICTURE_52.jpg	c
2381.988	9.784	1	learning	LS3	PICTURE_594.jpg	i
2391.772	8.033	1	learning	LS3	PICTURE_581.jpg	i
2399.805	7.403	1	learning	LS3	PICTURE_576.jpg	c
2407.208	7.729	1	learning	LS3	PICTURE_52.jpg	i
2414.937	6.778	1	learning	LS3	PICTURE_581.jpg	c
2421.715	n/a	n/a	learning	LS3	PICTURE_605.jpg	c
2446.715	8.398	1	learning	LS3	PICTURE_594.jpg	c
2455.113	9.848	1	learning	LS3	PICTURE_576.jpg	i
2464.961	7.780	1	learning	LS3	PICTURE_605.jpg	i
2472.741	8.137	1	learning	LS4	PICTURE_605.jpg	i
2480.878	7.504	1	learning	LS4	PICTURE_581.jpg	i
2488.382	7.035	1	learning	LS4	PICTURE_52.jpg	c
2495.417	6.719	0	learning	LS4	PICTURE_581.jpg	c
2502.136	8.166	1	learning	LS4	PICTURE_594.jpg	i
2510.302	7.855	1	learning	LS4	PICTURE_576.jpg	c
2518.157	7.701	1	learning	LS4	PICTURE_52.jpg	i
2525.858	6.750	1	learning	LS4	PICTURE_594.jpg	c
2532.608	7.078	1	learning	LS4	PICTURE_605.jpg	c
2539.686	7.408	1	learning	LS4	PICTURE_576.jpg	i
2547.094	11.753	1	learning	LS1	PICTURE_216.jpg	i
2558.847	9.206	0	learning	LS1	PICTURE_695.jpg	i
2568.053	9.215	0	learning	LS1	PICTURE_53.jpg	i
2577.268	11.779	1	learning	LS1	PICTURE_216.jpg	c
2589.047	9.550	1	learning	LS1	PICTURE_695.jpg	c
2598.597	11.474	0	learning	LS1	PICTURE_220.jpg	i
2610.071	11.005	0	learning	LS1	PICTURE_703.jpg	i
2621.076	9.416	1	learning	LS1	PICTURE_220.jpg	c
2630.492	9.103	1	learning	LS1	PICTURE_53.jpg	c
2639.595	9.113	1	learning	LS1	PICTURE_703.jpg	c
2648.708	7.393	1	learning	LS2	PICTURE_695.jpg	c
2656.101	12.034	1	learning	LS2	PICTURE_703.jpg	i
2668.135	7.887	1	learning	LS2	PICTURE_53.jpg	i
2676.022	11.410	0	learning	LS2	PICTURE_220.jpg	i
2687.432	12.220	1	learning	LS2	PICTURE_216.jpg	c
2699.652	8.553	1	learning	LS2	PICTURE_220.jpg	c
2708.205	8.238	1	learning	LS2	PICTURE_216.jpg	i
2716.443	7.924	1	learning	LS2	PICTURE_695.jpg	i
2724.367	7.458	1	learning	LS2	PICTURE_703.jpg	c
2731.825	6.825	1	learning	LS2	PICTURE_53.jpg	c
2738.650	7.657	1	learning	LS3	PICTURE_216.jpg	c
2746.307	6.067	1	learning	LS3	PICTURE_695.jpg	c
2752.374	8.152	1	learning	LS3	PICTURE_703.jpg	i
2760.526	6.405	1	learning	LS3	PICTURE_220.jpg	i
2766.931	6.736	1	learning	LS3	PICTURE_53.jpg	c
2773.667	7.541	1	learning	LS3	PICTURE_216.jpg	i
2781.208	6.909	1	learning	LS3	PICTURE_220.jpg	c
2788.117	8.835	1	learning	LS3	PICTURE_53.jpg	i
2796.952	7.405	1	learning	LS3	PICTURE_703.jpg	c
2804.357	7.572	1	learning	LS3	PICTURE_695.jpg	i
2811.929	7.452	1	learning	LS4	PICTURE_220.jpg	c
2819.381	6.820	1	learning	LS4	PICTURE_703.jpg	c
2826.201	8.586	1	learning	LS4	PICTURE_220.jpg	i
2834.787	7.001	1	learning	LS4	PICTURE_695.jpg	i
2841.788	7.652	1	learning	LS4	PICTURE_216.jpg	c
2849.440	6.861	1	learning	LS4	PICTURE_703.jpg	i
2856.301	6.869	1	learning	LS4	PICTURE_53.jpg	i
2863.170	7.037	1	learning	LS4	PICTURE_695.jpg	c
2870.207	6.565	1	learning	LS4	PICTURE_53.jpg	c
2876.772	8.010	1	learning	LS4	PICTURE_216.jpg	i
