onset	duration	accuracy	trial_type	learning_stage	stimulus	coherence	signal_detection_theory
1115.906	8.435	correct	learning	LS3	PICTURE_720.jpg	c	hit
1124.341	8.921	correct	learning	LS3	PICTURE_235.jpg	c	hit
1133.262	10.206	correct	learning	LS3	PICTURE_23.jpg	c	hit
1143.468	9.251	correct	learning	LS3	PICTURE_746.jpg	c	hit
1152.719	9.417	correct	learning	LS3	PICTURE_297.jpg	i	correct rejection
1162.136	9.424	correct	learning	LS3	PICTURE_746.jpg	i	correct rejection
1171.560	8.339	correct	learning	LS4	PICTURE_746.jpg	c	hit
1179.899	10.581	correct	learning	LS4	PICTURE_23.jpg	i	correct rejection
1190.480	9.788	correct	learning	LS4	PICTURE_746.jpg	i	correct rejection
1200.268	8.517	correct	learning	LS4	PICTURE_720.jpg	i	correct rejection
1208.785	9.003	correct	learning	LS4	PICTURE_235.jpg	i	correct rejection
1217.788	9.970	correct	learning	LS4	PICTURE_23.jpg	c	hit
1227.758	9.658	correct	learning	LS4	PICTURE_297.jpg	c	hit
1237.416	8.708	correct	learning	LS4	PICTURE_720.jpg	c	hit
1246.124	16.063	correct	learning	LS4	PICTURE_297.jpg	i	correct rejection
1262.187	8.721	correct	learning	LS4	PICTURE_235.jpg	c	hit
1270.908	7.923	correct	learning	LS1	PICTURE_15.jpg	c	hit
1278.831	6.014	correct	learning	LS1	PICTURE_480.jpg	i	correct rejection
1284.845	12.089	correct	learning	LS1	PICTURE_95.jpg	c	hit
1296.934	9.538	incorrect	learning	LS1	PICTURE_488.jpg	c	miss
1306.472	7.631	correct	learning	LS1	PICTURE_508.jpg	c	hit
1314.103	10.515	correct	learning	LS1	PICTURE_488.jpg	i	correct rejection
1324.618	7.965	incorrect	learning	LS1	PICTURE_95.jpg	i	false alarm
1332.583	15.002	incorrect	learning	LS1	PICTURE_508.jpg	i	false alarm
1347.585	10.212	correct	learning	LS1	PICTURE_15.jpg	i	correct rejection
1357.797	10.698	correct	learning	LS1	PICTURE_480.jpg	c	hit
1368.495	11.211	correct	learning	LS2	PICTURE_15.jpg	i	correct rejection
1379.706	11.220	correct	learning	LS2	PICTURE_95.jpg	c	hit
1390.926	15.383	correct	learning	LS2	PICTURE_488.jpg	i	correct rejection
1406.309	9.474	correct	learning	LS2	PICTURE_15.jpg	c	hit
1415.783	8.682	correct	learning	LS2	PICTURE_488.jpg	c	hit
1424.465	8.690	correct	learning	LS2	PICTURE_95.jpg	i	correct rejection
1433.155	12.853	incorrect	learning	LS2	PICTURE_480.jpg	i	false alarm
1446.008	9.343	correct	learning	LS2	PICTURE_508.jpg	c	hit
1455.351	14.623	correct	learning	LS2	PICTURE_480.jpg	c	hit
1469.974	9.038	correct	learning	LS2	PICTURE_508.jpg	i	correct rejection
1479.012	8.117	correct	learning	LS3	PICTURE_15.jpg	i	correct rejection
1487.129	9.082	correct	learning	LS3	PICTURE_488.jpg	i	correct rejection
1496.211	11.324	correct	learning	LS3	PICTURE_480.jpg	c	hit
1507.535	11.176	correct	learning	LS3	PICTURE_508.jpg	i	correct rejection
1518.711	8.142	correct	learning	LS3	PICTURE_95.jpg	i	correct rejection
1526.853	8.789	correct	learning	LS3	PICTURE_488.jpg	c	hit
1535.642	7.516	correct	learning	LS3	PICTURE_480.jpg	i	correct rejection
1543.158	9.604	correct	learning	LS3	PICTURE_95.jpg	c	hit
1552.762	8.331	correct	learning	LS3	PICTURE_508.jpg	c	hit
1561.093	8.979	correct	learning	LS3	PICTURE_15.jpg	c	hit
1570.072	9.653	correct	learning	LS4	PICTURE_95.jpg	c	hit
1579.725	6.462	correct	learning	LS4	PICTURE_15.jpg	c	hit
1586.187	9.824	correct	learning	LS4	PICTURE_508.jpg	i	correct rejection
1596.011	9.513	correct	learning	LS4	PICTURE_488.jpg	c	hit
1605.524	7.122	correct	learning	LS4	PICTURE_508.jpg	c	hit
1612.646	7.927	correct	learning	LS4	PICTURE_15.jpg	i	correct rejection
1620.573	12.086	correct	learning	LS4	PICTURE_480.jpg	c	hit
1632.659	8.259	correct	learning	LS4	PICTURE_95.jpg	i	correct rejection
1640.918	9.063	correct	learning	LS4	PICTURE_480.jpg	i	correct rejection
1649.981	7.951	correct	learning	LS4	PICTURE_488.jpg	i	correct rejection
1657.932	12.906	correct	control	LS1	PICTURE_549.jpg	i	correct rejection
1670.838	10.038	correct	control	LS1	PICTURE_418.jpg	c	hit
1680.876	9.406	correct	control	LS1	PICTURE_498.jpg	c	hit
1690.282	9.571	correct	control	LS1	PICTURE_549.jpg	c	hit
1699.853	11.176	correct	control	LS1	PICTURE_350.jpg	i	correct rejection
1711.029	12.304	correct	control	LS1	PICTURE_418.jpg	i	correct rejection
1723.333	9.759	correct	control	LS1	PICTURE_485.jpg	c	hit
1733.092	9.130	correct	control	LS1	PICTURE_350.jpg	c	hit
1742.222	8.973	correct	control	LS1	PICTURE_498.jpg	i	correct rejection
1751.195	9.941	correct	control	LS1	PICTURE_485.jpg	i	correct rejection
1761.136	16.376	correct	control	LS2	PICTURE_498.jpg	c	hit
1777.512	8.871	correct	control	LS2	PICTURE_418.jpg	i	correct rejection
1786.383	7.919	correct	control	LS2	PICTURE_485.jpg	c	hit
1794.302	10.643	correct	control	LS2	PICTURE_498.jpg	i	correct rejection
1804.945	7.774	correct	control	LS2	PICTURE_350.jpg	c	hit
1812.719	9.859	correct	control	LS2	PICTURE_549.jpg	c	hit
1822.578	9.225	correct	control	LS2	PICTURE_485.jpg	i	correct rejection
1831.803	13.068	correct	control	LS2	PICTURE_418.jpg	c	hit
1844.871	8.283	correct	control	LS2	PICTURE_549.jpg	i	correct rejection
1853.154	11.968	correct	control	LS2	PICTURE_350.jpg	i	correct rejection
1865.122	12.320	correct	control	LS3	PICTURE_552.jpg	c	hit
1877.442	10.410	correct	control	LS3	PICTURE_388.jpg	i	correct rejection
1887.852	11.215	correct	control	LS3	PICTURE_314.jpg	i	correct rejection
1899.067	9.786	correct	control	LS3	PICTURE_663.jpg	c	hit
1908.853	9.633	correct	control	LS3	PICTURE_476.jpg	c	hit
1918.486	12.997	correct	control	LS3	PICTURE_552.jpg	i	correct rejection
1931.483	12.685	correct	control	LS3	PICTURE_663.jpg	i	correct rejection
1944.168	11.413	correct	control	LS3	PICTURE_388.jpg	c	hit
1955.581	8.223	correct	control	LS3	PICTURE_314.jpg	c	hit
1963.804	8.388	correct	control	LS3	PICTURE_476.jpg	i	correct rejection
1972.192	13.218	correct	control	LS4	PICTURE_476.jpg	i	correct rejection
1985.410	8.429	correct	control	LS4	PICTURE_552.jpg	i	correct rejection
1993.839	8.115	correct	control	LS4	PICTURE_476.jpg	c	hit
2001.954	7.321	correct	control	LS4	PICTURE_314.jpg	c	hit
2009.275	14.040	correct	control	LS4	PICTURE_388.jpg	c	hit
2023.315	8.295	correct	control	LS4	PICTURE_552.jpg	c	hit
2031.610	9.103	correct	control	LS4	PICTURE_663.jpg	i	correct rejection
2040.713	11.990	correct	control	LS4	PICTURE_314.jpg	i	correct rejection
2052.703	9.439	correct	control	LS4	PICTURE_663.jpg	c	hit
2062.142	11.046	correct	control	LS4	PICTURE_388.jpg	i	correct rejection
2073.188	13.439	correct	learning	LS1	PICTURE_581.jpg	c	hit
2086.627	13.769	correct	learning	LS1	PICTURE_605.jpg	c	hit
2100.396	9.781	correct	learning	LS1	PICTURE_52.jpg	i	correct rejection
2110.177	9.312	incorrect	learning	LS1	PICTURE_576.jpg	c	miss
2119.489	8.357	incorrect	learning	LS1	PICTURE_594.jpg	i	false alarm
2127.846	11.724	correct	learning	LS1	PICTURE_581.jpg	i	correct rejection
2139.570	9.657	correct	learning	LS1	PICTURE_594.jpg	c	hit
2149.227	9.506	correct	learning	LS1	PICTURE_605.jpg	i	correct rejection
2158.733	12.230	correct	learning	LS1	PICTURE_576.jpg	i	correct rejection
2170.963	15.273	correct	learning	LS1	PICTURE_52.jpg	c	hit
