onset	duration	accuracy	trial_type	learning_stage	stimulus	response_port
15516.957	0.9	correct	learning	LS4	h102_p43_i_down_left.jpg	97
15564.284	0.902	correct	learning	LS4	h27_p8_k_up_q1_left.jpg	98
15611.612	0.983	correct	learning	LS4	h24_p48_i_up_right.jpg	97
15885.41	1.672	correct	control	LS1	h57_p36_k_down_q1_left.jpg	97
15931.571	0.702	correct	control	LS1	h26_p43_i_up_right.jpg	98
15977.731	0.468	correct	control	LS1	h27_p10_i_up_left.jpg	97
16023.892	0.778	correct	control	LS1	h60_p49_k_up_q4_left.jpg	97
16070.053	0.593	correct	control	LS1	h27_p8_k_up_q1_left.jpg	97
16116.214	0.599	correct	control	LS1	h77_p16_i_down_right.jpg	98
16162.374	0.733	correct	control	LS1	h26_p20_k_up_q2_right.jpg	98
16208.535	0.803	incorrect	control	LS1	h57_p15_i_down_left.jpg	98
16254.696	0.793	correct	control	LS1	h60_p35_i_up_right.jpg	98
16300.69	1.023	correct	control	LS1	h77_p42_k_down_q1_left.jpg	97
16391.845	0.896	correct	control	LS2	h27_p34_i_up_right.jpg	98
16437.839	0.663	correct	control	LS2	h27_p8_k_up_q1_left.jpg	97
16483.833	0.814	correct	control	LS2	h77_p42_k_down_q1_left.jpg	97
16529.827	0.757	correct	control	LS2	h26_p20_k_up_q2_right.jpg	98
16575.821	0.7	correct	control	LS2	h60_p48_i_up_right.jpg	98
16621.982	0.754	correct	control	LS2	h60_p49_k_up_q4_left.jpg	97
16668.309	0.487	correct	control	LS2	h26_p48_i_up_right.jpg	98
16714.637	1.036	correct	control	LS2	h57_p34_i_down_left.jpg	97
16760.964	0.706	correct	control	LS2	h77_p35_i_down_left.jpg	97
16807.292	0.567	correct	control	LS2	h57_p36_k_down_q1_left.jpg	97
16898.78	0.855	correct	control	LS3	h60_p35_i_up_right.jpg	98
16945.107	0.604	correct	control	LS3	h26_p20_k_up_q2_right.jpg	98
16991.268	0.754	correct	control	LS3	h60_p49_k_up_q4_left.jpg	97
17037.429	1.512	correct	control	LS3	h77_p42_k_down_q1_left.jpg	97
17083.589	0.719	correct	control	LS3	h27_p10_i_up_left.jpg	97
17129.75	0.741	correct	control	LS3	h26_p43_i_up_right.jpg	98
17175.911	0.731	correct	control	LS3	h27_p8_k_up_q1_left.jpg	97
17222.072	0.593	correct	control	LS3	h77_p16_i_down_right.jpg	98
17268.232	0.775	correct	control	LS3	h57_p36_k_down_q1_left.jpg	97
17314.227	0.702	correct	control	LS3	h57_p15_i_down_left.jpg	97
17405.548	0.782	correct	control	LS4	h57_p36_k_down_q1_left.jpg	97
17451.542	0.661	correct	control	LS4	h60_p49_k_up_q4_left.jpg	97
17497.536	0.652	correct	control	LS4	h60_p48_i_up_right.jpg	98
17543.53	0.466	correct	control	LS4	h26_p48_i_up_right.jpg	98
17589.525	0.889	correct	control	LS4	h27_p34_i_up_right.jpg	98
17635.519	0.784	correct	control	LS4	h77_p35_i_down_left.jpg	97
17681.513	0.551	correct	control	LS4	h27_p8_k_up_q1_left.jpg	97
17727.507	1.357	correct	control	LS4	h77_p42_k_down_q1_left.jpg	97
17773.834	0.755	correct	control	LS4	h26_p20_k_up_q2_right.jpg	98
17820.162	1.0	correct	control	LS4	h57_p34_i_down_left.jpg	97
