onset	duration	response_time_ms	trial_type	learning_stage	stimulus	coherence	response_port
1344.859	11.808	11808.0	learning	LS3	PICTURE_462.jpg	i	n/a
1356.667	7.980	7980.0	learning	LS3	PICTURE_400.jpg	i	n/a
1364.647	9.270	9270.0	learning	LS3	PICTURE_462.jpg	c	n/a
1373.917	8.319	8319.0	learning	LS3	PICTURE_402.jpg	i	n/a
1382.236	7.529	7529.0	learning	LS3	PICTURE_405.jpg	c	n/a
1389.765	9.163	9163.0	learning	LS4	PICTURE_400.jpg	i	n/a
1398.928	7.890	7890.0	learning	LS4	PICTURE_402.jpg	i	n/a
1406.818	7.739	7739.0	learning	LS4	PICTURE_21.jpg	c	n/a
1414.557	6.466	6466.0	learning	LS4	PICTURE_405.jpg	c	n/a
1421.023	7.435	7435.0	learning	LS4	PICTURE_400.jpg	c	n/a
1428.458	8.243	8243.0	learning	LS4	PICTURE_405.jpg	i	n/a
1436.701	9.689	9689.0	learning	LS4	PICTURE_402.jpg	c	n/a
1446.390	10.332	10332.0	learning	LS4	PICTURE_462.jpg	i	n/a
1456.722	7.943	7943.0	learning	LS4	PICTURE_21.jpg	i	n/a
1464.665	8.587	8587.0	learning	LS4	PICTURE_462.jpg	c	n/a
1473.252	10.037	10037.0	learning	LS1	PICTURE_23.jpg	i	n/a
1483.289	10.843	10843.0	learning	LS1	PICTURE_297.jpg	i	n/a
1494.132	10.213	10213.0	learning	LS1	PICTURE_23.jpg	c	n/a
1504.345	9.744	9744.0	learning	LS1	PICTURE_235.jpg	c	n/a
1514.089	11.511	11511.0	learning	LS1	PICTURE_746.jpg	i	n/a
1525.600	11.678	11678.0	learning	LS1	PICTURE_297.jpg	c	n/a
1537.278	9.449	9449.0	learning	LS1	PICTURE_235.jpg	i	n/a
1546.727	n/a	n/a	learning	LS1	PICTURE_720.jpg	i	n/a
1571.727	19.852	19852.0	learning	LS1	PICTURE_746.jpg	c	n/a
1591.579	9.793	9793.0	learning	LS1	PICTURE_720.jpg	c	n/a
1601.372	7.749	7749.0	learning	LS2	PICTURE_297.jpg	c	n/a
1609.121	7.116	7116.0	learning	LS2	PICTURE_746.jpg	c	n/a
1616.237	7.126	7126.0	learning	LS2	PICTURE_23.jpg	c	n/a
1623.363	7.614	7614.0	learning	LS2	PICTURE_235.jpg	c	n/a
1630.977	8.902	8902.0	learning	LS2	PICTURE_720.jpg	i	n/a
