trial_index	trial_type	block_number	accuracy_binary
263	nogo	8	1
264	go	8	1
265	go	8	1
266	go	8	1
267	go	8	1
268	go	8	1
269	go	8	0
270	go	8	1
271	go	8	1
272	nogo	8	0
273	go	8	1
274	go	8	1
275	go	8	1
276	go	8	1
277	go	8	1
278	go	8	1
279	go	8	1
280	nogo	8	1
281	go	8	1
282	go	8	1
283	go	8	1
284	nogo	8	1
285	go	8	1
286	go	8	1
287	nogo	8	1
288	go	8	1
289	go	8	1
290	go	8	1
291	go	8	1
292	go	8	1
293	go	8	1
294	go	8	1
295	go	8	1
296	nogo	8	1
297	go	8	1
298	go	8	1
299	go	8	1
300	go	8	1
301	go	8	0
302	nogo	8	1
303	go	8	1
304	go	8	1
305	go	8	1
306	go	8	1
307	go	8	1
308	nogo	8	1
309	go	8	1
310	nogo	8	1
311	go	8	1
312	go	8	1
331	go	10	1
332	go	10	1
333	nogo	10	1
334	go	10	1
335	nogo	10	1
336	go	10	1
337	go	10	1
338	go	10	1
339	go	10	1
340	nogo	10	1
341	go	10	1
342	nogo	10	1
343	go	10	1
344	go	10	1
345	go	10	1
346	go	10	1
347	go	10	1
348	go	10	1
349	go	10	1
350	go	10	1
351	go	10	1
352	nogo	10	1
353	go	10	1
354	go	10	1
355	go	10	1
356	nogo	10	1
357	go	10	1
358	go	10	1
359	go	10	1
360	go	10	1
361	go	10	1
362	go	10	1
363	go	10	1
364	go	10	1
365	go	10	1
366	nogo	10	1
367	go	10	1
368	nogo	10	1
369	go	10	1
370	go	10	1
371	nogo	10	0
372	go	10	1
373	go	10	1
374	go	10	1
375	go	10	1
376	nogo	10	1
377	go	10	1
378	go	10	1
379	go	10	1
380	go	10	1
381	nogo	10	1
382	go	10	1
383	go	10	1
384	go	10	1
385	go	10	1
386	nogo	10	0
387	go	10	1
388	go	10	1
389	go	10	0
390	go	10	1
391	go	11	1
392	go	11	1
393	go	11	0
394	go	11	1
395	go	11	1
396	go	11	1
397	go	11	1
398	go	11	1
399	go	11	1
400	go	11	1
401	nogo	11	1
402	go	11	1
403	nogo	11	0
404	go	11	1
405	nogo	11	0
406	go	11	1
407	go	11	1
408	nogo	11	0
409	go	11	1
410	go	11	1
411	go	11	1
412	go	11	1
413	go	11	1
414	go	11	1
415	nogo	11	1
416	go	11	1
417	nogo	11	1
418	go	11	1
419	go	11	1
420	go	11	0
421	nogo	11	1
422	go	11	1
423	go	11	1
424	go	11	1
425	go	11	1
426	nogo	11	1
427	go	11	1
428	nogo	11	1
429	go	11	1
430	go	11	1
431	go	11	1
432	go	11	1
433	go	11	1
434	go	11	1
435	go	11	1
436	go	11	1
437	go	11	1
438	go	11	1
439	go	11	1
440	go	11	1
441	go	11	1
442	go	11	1
443	nogo	11	1
444	go	11	1
445	nogo	11	1
446	go	11	1
447	nogo	11	1
448	go	11	1
449	go	11	1
450	go	11	1
469	go	13	1
470	go	13	1
471	go	13	1
472	go	13	1
473	go	13	1
474	go	13	1
475	go	13	1
476	go	13	1
477	go	13	1
478	go	13	1
479	go	13	1
480	nogo	13	1
481	go	13	1
482	nogo	13	1
483	go	13	1
484	go	13	1
485	go	13	1
486	go	13	1
487	go	13	1
488	go	13	1
489	go	13	1
490	go	13	1
491	go	13	1
492	nogo	13	1
493	go	13	1
494	nogo	13	0
495	go	13	1
496	go	13	0
497	nogo	13	1
498	go	13	1
499	go	13	1
500	go	13	1
501	nogo	13	1
502	go	13	1
503	go	13	1
504	nogo	13	1
505	go	13	1
506	go	13	1
507	go	13	1
508	nogo	13	1
509	go	13	1
510	go	13	1
511	go	13	1
512	go	13	1
513	go	13	1
514	go	13	1
515	nogo	13	0
516	go	13	1
517	nogo	13	1
518	go	13	1
519	nogo	13	1
520	go	13	1
521	go	13	1
522	go	13	1
523	nogo	13	1
524	go	13	1
525	go	13	1
526	go	13	1
527	go	13	1
528	go	13	1
529	go	14	1
530	nogo	14	1
531	go	14	1
532	nogo	14	1
533	go	14	1
534	go	14	1
535	go	14	1
536	nogo	14	1
537	go	14	1
538	go	14	1
539	nogo	14	1
540	go	14	1
541	go	14	1
542	go	14	1
543	go	14	1
544	go	14	1
545	go	14	1
546	go	14	1
547	go	14	1
548	nogo	14	1
549	go	14	1
550	go	14	1
551	nogo	14	1
552	go	14	1
553	go	14	0
554	go	14	1
555	go	14	1
556	go	14	1
557	nogo	14	0
558	go	14	1
559	nogo	14	1
560	go	14	1
561	go	14	1
562	go	14	1
563	nogo	14	1
564	go	14	1
565	nogo	14	1
566	go	14	1
567	go	14	1
568	nogo	14	1
569	go	14	1
570	go	14	1
571	go	14	1
572	go	14	1
573	go	14	1
574	go	14	0
575	go	14	1
576	go	14	1
577	go	14	1
578	go	14	1
579	go	14	1
580	go	14	1
581	go	14	1
582	go	14	1
583	go	14	1
584	go	14	1
585	go	14	1
586	nogo	14	1
587	go	14	1
588	go	14	1
