onset	duration	accuracy_binary	trial_type	learning_stage	stimulus	coherence
1552.741	7.637	1	learning	LS4	PICTURE_15.jpg	c
1560.378	7.538	1	learning	LS4	PICTURE_488.jpg	i
1567.916	17.021	1	control	LS1	PICTURE_350.jpg	c
1584.937	10.697	1	control	LS1	PICTURE_418.jpg	c
1595.634	9.491	1	control	LS1	PICTURE_549.jpg	c
1605.125	12.763	1	control	LS1	PICTURE_485.jpg	i
1617.888	10.597	1	control	LS1	PICTURE_350.jpg	i
1628.485	8.592	1	control	LS1	PICTURE_485.jpg	c
1637.077	8.346	1	control	LS1	PICTURE_498.jpg	i
1645.423	8.420	1	control	LS1	PICTURE_418.jpg	i
1653.843	12.179	1	control	LS1	PICTURE_498.jpg	c
1666.022	7.302	1	control	LS1	PICTURE_549.jpg	i
1673.324	7.163	1	control	LS2	PICTURE_350.jpg	c
1680.487	10.282	1	control	LS2	PICTURE_485.jpg	c
1690.769	8.923	1	control	LS2	PICTURE_418.jpg	c
1699.692	9.323	1	control	LS2	PICTURE_485.jpg	i
1709.015	10.203	1	control	LS2	PICTURE_549.jpg	c
1719.218	8.838	1	control	LS2	PICTURE_350.jpg	i
1728.056	14.515	1	control	LS2	PICTURE_498.jpg	i
1742.571	7.219	1	control	LS2	PICTURE_418.jpg	i
1749.790	9.198	1	control	LS2	PICTURE_549.jpg	i
1758.988	7.179	1	control	LS2	PICTURE_498.jpg	c
1766.167	10.051	1	control	LS3	PICTURE_476.jpg	i
1776.218	10.438	1	control	LS3	PICTURE_388.jpg	c
1786.656	11.144	1	control	LS3	PICTURE_552.jpg	i
1797.800	10.737	1	control	LS3	PICTURE_663.jpg	i
1808.537	9.531	1	control	LS3	PICTURE_314.jpg	i
1818.068	8.486	1	control	LS3	PICTURE_663.jpg	c
1826.554	8.398	1	control	LS3	PICTURE_476.jpg	c
1834.952	7.832	1	control	LS3	PICTURE_314.jpg	c
1842.784	11.584	1	control	LS3	PICTURE_552.jpg	c
1854.368	10.063	1	control	LS3	PICTURE_388.jpg	i
1864.431	9.125	1	control	LS4	PICTURE_314.jpg	i
1873.556	7.119	1	control	LS4	PICTURE_476.jpg	i
1880.675	8.158	1	control	LS4	PICTURE_388.jpg	c
1888.833	9.991	1	control	LS4	PICTURE_552.jpg	c
1898.824	13.902	1	control	LS4	PICTURE_663.jpg	c
1912.726	9.344	1	control	LS4	PICTURE_388.jpg	i
1922.070	9.264	1	control	LS4	PICTURE_552.jpg	i
1931.334	12.702	1	control	LS4	PICTURE_663.jpg	i
1944.036	7.016	1	control	LS4	PICTURE_476.jpg	c
1951.052	7.570	1	control	LS4	PICTURE_314.jpg	c
1958.622	12.411	0	learning	LS1	PICTURE_400.jpg	c
1971.033	9.278	0	learning	LS1	PICTURE_405.jpg	i
1980.311	13.510	0	learning	LS1	PICTURE_462.jpg	c
1993.821	10.546	1	learning	LS1	PICTURE_402.jpg	i
2004.367	7.740	1	learning	LS1	PICTURE_21.jpg	c
2012.107	13.571	1	learning	LS1	PICTURE_400.jpg	i
2025.678	9.648	1	learning	LS1	PICTURE_405.jpg	c
2035.326	7.161	1	learning	LS1	PICTURE_402.jpg	c
2042.487	11.878	0	learning	LS1	PICTURE_462.jpg	i
2054.365	10.999	1	learning	LS1	PICTURE_21.jpg	i
2065.364	7.821	1	learning	LS2	PICTURE_405.jpg	i
2073.185	9.661	1	learning	LS2	PICTURE_21.jpg	i
2082.846	9.101	1	learning	LS2	PICTURE_462.jpg	i
2091.947	7.895	1	learning	LS2	PICTURE_402.jpg	c
2099.842	8.135	1	learning	LS2	PICTURE_462.jpg	c
2107.977	7.096	1	learning	LS2	PICTURE_402.jpg	i
2115.073	10.528	1	learning	LS2	PICTURE_400.jpg	i
2125.601	8.529	1	learning	LS2	PICTURE_405.jpg	c
2134.130	7.629	1	learning	LS2	PICTURE_400.jpg	c
2141.759	10.728	1	learning	LS2	PICTURE_21.jpg	c
2152.487	6.723	1	learning	LS3	PICTURE_400.jpg	c
2159.210	10.142	1	learning	LS3	PICTURE_21.jpg	i
2169.352	6.211	1	learning	LS3	PICTURE_405.jpg	c
2175.563	6.118	1	learning	LS3	PICTURE_21.jpg	c
2181.681	6.671	1	learning	LS3	PICTURE_405.jpg	i
2188.352	9.144	1	learning	LS3	PICTURE_462.jpg	i
2197.496	6.977	1	learning	LS3	PICTURE_402.jpg	i
