onset	duration	accuracy	trial_type	learning_stage	stimulus	coherence	signal_detection_theory
1471.593	8.995	correct	learning	LS4	PICTURE_21.jpg	i	correct rejection
1480.588	7.403	correct	learning	LS4	PICTURE_400.jpg	c	hit
1487.991	9.329	incorrect	learning	LS1	PICTURE_746.jpg	i	false alarm
1497.320	8.218	correct	learning	LS1	PICTURE_23.jpg	c	hit
1505.538	11.582	correct	learning	LS1	PICTURE_297.jpg	c	hit
1517.120	10.633	incorrect	learning	LS1	PICTURE_235.jpg	i	false alarm
1527.753	10.638	correct	learning	LS1	PICTURE_720.jpg	c	hit
1538.391	10.328	correct	learning	LS1	PICTURE_235.jpg	c	hit
1548.719	10.657	correct	learning	LS1	PICTURE_23.jpg	i	correct rejection
1559.376	17.057	correct	learning	LS1	PICTURE_720.jpg	i	correct rejection
1576.433	11.152	correct	learning	LS1	PICTURE_297.jpg	i	correct rejection
1587.585	9.400	correct	learning	LS1	PICTURE_746.jpg	c	hit
1596.985	8.159	correct	learning	LS2	PICTURE_720.jpg	c	hit
1605.144	8.647	correct	learning	LS2	PICTURE_235.jpg	c	hit
1613.791	5.942	correct	learning	LS2	PICTURE_746.jpg	c	hit
1619.733	8.508	correct	learning	LS2	PICTURE_720.jpg	i	correct rejection
1628.241	7.080	correct	learning	LS2	PICTURE_297.jpg	c	hit
1635.321	7.888	correct	learning	LS2	PICTURE_23.jpg	c	hit
1643.209	7.734	correct	learning	LS2	PICTURE_297.jpg	i	correct rejection
1650.943	9.340	correct	learning	LS2	PICTURE_23.jpg	i	correct rejection
1660.283	9.508	correct	learning	LS2	PICTURE_235.jpg	i	correct rejection
1669.791	7.756	correct	learning	LS2	PICTURE_746.jpg	i	correct rejection
1677.547	8.752	correct	learning	LS3	PICTURE_23.jpg	i	correct rejection
1686.299	11.160	correct	learning	LS3	PICTURE_720.jpg	i	correct rejection
1697.459	8.932	correct	learning	LS3	PICTURE_23.jpg	c	hit
1706.391	8.622	correct	learning	LS3	PICTURE_235.jpg	c	hit
1715.013	8.471	correct	learning	LS3	PICTURE_746.jpg	i	correct rejection
1723.484	6.720	correct	learning	LS3	PICTURE_297.jpg	c	hit
1730.204	8.805	correct	learning	LS3	PICTURE_235.jpg	i	correct rejection
1739.009	7.532	correct	learning	LS3	PICTURE_746.jpg	c	hit
1746.541	14.891	correct	learning	LS3	PICTURE_720.jpg	c	hit
1761.432	8.186	correct	learning	LS3	PICTURE_297.jpg	i	correct rejection
1769.618	8.702	correct	learning	LS4	PICTURE_23.jpg	c	hit
1778.320	6.951	correct	learning	LS4	PICTURE_746.jpg	i	correct rejection
1785.271	6.478	correct	learning	LS4	PICTURE_235.jpg	c	hit
1791.749	8.402	correct	learning	LS4	PICTURE_720.jpg	i	correct rejection
1800.151	4.888	correct	learning	LS4	PICTURE_297.jpg	c	hit
1805.039	9.850	correct	learning	LS4	PICTURE_235.jpg	i	correct rejection
1814.889	8.258	correct	learning	LS4	PICTURE_720.jpg	c	hit
1823.147	7.787	correct	learning	LS4	PICTURE_23.jpg	i	correct rejection
1830.934	6.996	correct	learning	LS4	PICTURE_746.jpg	c	hit
1837.930	8.922	correct	learning	LS4	PICTURE_297.jpg	i	correct rejection
1846.852	15.943	incorrect	learning	LS1	PICTURE_15.jpg	i	false alarm
1862.795	13.238	correct	learning	LS1	PICTURE_488.jpg	c	hit
1876.033	9.090	incorrect	learning	LS1	PICTURE_508.jpg	i	false alarm
1885.123	12.450	incorrect	learning	LS1	PICTURE_480.jpg	i	false alarm
1897.573	12.936	correct	learning	LS1	PICTURE_15.jpg	c	hit
1910.509	7.030	correct	learning	LS1	PICTURE_480.jpg	c	hit
1917.539	11.193	incorrect	learning	LS1	PICTURE_95.jpg	i	false alarm
1928.732	10.403	correct	learning	LS1	PICTURE_508.jpg	c	hit
1939.135	8.494	incorrect	learning	LS1	PICTURE_488.jpg	i	false alarm
1947.629	8.821	correct	learning	LS1	PICTURE_95.jpg	c	hit
1956.450	10.456	correct	learning	LS2	PICTURE_15.jpg	i	correct rejection
1966.906	5.988	correct	learning	LS2	PICTURE_508.jpg	c	hit
1972.894	10.310	incorrect	learning	LS2	PICTURE_480.jpg	i	false alarm
1983.204	8.240	correct	learning	LS2	PICTURE_95.jpg	i	correct rejection
1991.444	7.287	correct	learning	LS2	PICTURE_15.jpg	c	hit
